"10","501","Aaegidius"
"11","25","Aaron"
"12","26","Abacut"
"13","27","Abandus"
"14","28","Abbas"
"16","29","Abel"
"17","29","Abelus"
"21","30","Abraham"
"22","30","Abrahamus"
"23","30","Abrahanus"
"25","31","Absalon"
"26","31","Absolon"
"27","31","Absolons"
"28","32","Acamus"
"29","33","Acardus"
"30","34","Accandus"
"31","35","Achilles"
"33","36","Acrianus"
"34","1224","Actavius"
"38","41","Adalbertus"
"39","38","Adam"
"41","38","Adamus"
"42","39","Adanotus"
"43","40","Adelardus"
"44","41","Adelbertus"
"45","42","Adelinus"
"46","43","Adellelmus"
"47","424","Adeodatus"
"48","424","Adeotatus"
"51","45","Adolfus"
"52","45","Adolphus"
"53","45","Adolpus"
"54","46","Adomarus"
"55","47","Adonius"
"56","45","Adophus"
"57","47","Adoynus"
"59","49","Adreanus"
"60","48","Adriana"
"62","49","Adrianis"
"64","49","Adrianus"
"68","45","Adulphus"
"69","50","Aef"
"70","501","Aegdius"
"71","501","Aegedius"
"72","501","Aegidius"
"74","501","Aegidus"
"75","501","Aegiudius"
"76","51","Aegius"
"77","501","Aegydius"
"78","81","Aelbertus"
"79","52","Aeligius"
"80","55","Aemelius"
"81","55","Aemilius"
"82","57","Aenerus"
"83","58","Aengerranus"
"84","59","Aenko"
"85","160","Aernoldus"
"86","60","Aetus"
"87","61","Afrianus"
"88","62","Africanus"
"89","63","Agapittus"
"90","63","Agapitus"
"91","64","Agatha"
"92","65","Agatho"
"93","66","Agatius"
"94","67","Aggeus"
"95","67","Aggo"
"96","501","Agidius"
"97","504","Agmondus"
"98","68","Agnes"
"99","69","Agneux"
"100","177","Agustinus"
"102","71","Aijbertus"
"103","72","Aijta"
"104","73","Ailco"
"105","60","Aitus"
"107","76","Alaerdus"
"108","75","Alanus"
"111","76","Alardis"
"112","76","Alardus"
"113","78","Albanus"
"114","79","Albericus"
"115","79","Alberis"
"116","81","Albert"
"118","80","Albertinus"
"119","81","Albertis"
"120","81","Albertus"
"124","82","Albinus"
"126","81","Albrecht"
"128","41","Aldebertus"
"129","45","Aldolphus"
"130","85","Alduardus"
"132","92","Alecius"
"133","92","Alectus"
"134","87","Aleomus"
"135","89","Aleranus"
"136","89","Alerinus"
"137","89","Alermus"
"138","90","Alesto"
"140","7","Alexander"
"142","92","Alexis"
"143","92","Alexius"
"144","93","Aleydis"
"145","98","Alfardus"
"146","99","Alfonsius"
"147","99","Alfonsus"
"148","99","Alfphonsus"
"150","94","Aligerinus"
"151","3044","Aliprandus"
"152","76","Allardus"
"153","95","Alleau"
"154","96","Allerinus"
"155","7","Allexander"
"156","187","Almaricus"
"157","97","Alnysius"
"158","97","Aloijsius"
