external_id,fm_id,project_fm_id
9912778250101488,2071,24
9912778400101488,2072,24
9912779680101488,2073,24
9912779810101488,2074,24
9912781690101488,2075,24
9912781880101488,2076,24
9912782030101488,2077,24
9912782100101488,2078,24
9912782180101488,2079,24
9912782850101488,2080,24
9912783740101488,2081,24
9912783880101488,2082,24
9912783980101488,2083,24
9912784040101488,2084,24
9912784150101488,2085,24
9912784260101488,2086,24
9912784410101488,2087,24
9912785450101488,2088,24
9912785610101488,2089,24
9912785800101488,2090,24
9912785810101488,2091,24
9912786310101488,2092,24
9912786510101488,2093,24
9912786810101488,2094,24
9912787000101488,2095,24
9912787050101488,2096,24
9912787220101488,2097,24
9912787360101488,2098,24
9912787500101488,2099,24
9912787740101488,2100,24
9912788060101488,2101,24
9912788130101488,2102,24
9912789230101488,2103,24
9912789330101488,2104,24
9912789430101488,2105,24
9912789510101488,2106,24
9912790220101488,2107,24
9912790330101488,2108,24
9912790420101488,2109,24
9912790680101488,2110,24
9912790720101488,2111,24
9912790780101488,2112,24
9912790830101488,2113,24
9912791210101488,2114,24
9912791280101488,2115,24
9912791340101488,2116,24
9912791440101488,2117,24
9912791510101488,2118,24
9912791790101488,2119,24
9912791870101488,2120,24
9912792450101488,2121,24
9912792770101488,2122,24
9912793180101488,2123,24
9912793320101488,2124,24
9912793600101488,2125,24
9912793720101488,2126,24
9912793950101488,2127,24
9912794380101488,2128,24
9912794930101488,2129,24
9912795120101488,2130,24
9912795340101488,2131,24
9912795410101488,2132,24
9912795520101488,2133,24
9912796140101488,2134,24
9912796400101488,2135,24
9912796500101488,2136,24
9912796640101488,2137,24
9912796740101488,2138,24
9912796790101488,2139,24
9912796890101488,2140,24
9912796910101488,2141,24
9912796940101488,2142,24
9912796990101488,2143,24
9912797240101488,2144,24
9912797320101488,2145,24
9912797380101488,2146,24
9912797410101488,2147,24
9912797460101488,2148,24
9912797530101488,2149,24
9912797650101488,2150,24
9912797710101488,2151,24
9912797970101488,2152,24
9912798040101488,2153,24
9912798320101488,2154,24
9912798390101488,2155,24
9912798560101488,2156,24
9912798610101488,2157,24
9912798750101488,2158,24
9912798830101488,2159,24
9912798940101488,2160,24
9912798980101488,2161,24
9912799020101488,2162,24
9912799230101488,2163,24
9912799270101488,2164,24
9912799390101488,2165,24
9912799580101488,2166,24
9912799600101488,2167,24
9912799900101488,2168,24
9912799930101488,2169,24
9912800050101488,2170,24
9988960990101488,2171,24
9988961000101488,2172,24
9988961010101488,2173,24
9988961020101488,2174,24
9988961030101488,2175,24
9988961040101488,2176,24
9988961050101488,2177,24
9988961070101488,2178,24
9989012930101488,2179,24
9989029010101488,2180,24
9989029040101488,2181,24
9989029130101488,2182,24
9989029280101488,2183,24
9989029720101488,2184,24
9989029790101488,2185,24
9989029920101488,2186,24
9989030010101488,2187,24
9989045580101488,2188,24
9989045670101488,2189,24
9989045800101488,2190,24
9989045950101488,2191,24
9989046050101488,2192,24
9989046380101488,2193,24
9989046570101488,2194,24
9989046810101488,2195,24
9989047010101488,2196,24
9989047120101488,2197,24
9989047200101488,2198,24
9989047270101488,2199,24
9989047390101488,2200,24
9989047470101488,2201,24
9989047570101488,2202,24
9989047610101488,2203,24
9989047820101488,2204,24
9989047870101488,2205,24
9989056730101488,2206,24
9989056770101488,2207,24
9989056780101488,2208,24
9989056800101488,2209,24
9989056810101488,2210,24
9989058940101488,2211,24
9989059690101488,2212,24
9989059700101488,2213,24
9989059720101488,2214,24
9989059790101488,2215,24
9989059810101488,2216,24
9989059830101488,2217,24
9989059860101488,2218,24
9989059880101488,2219,24
9989061210101488,2220,24
9989061230101488,2221,24
9989061460101488,2222,24
9989061570101488,2223,24
9989061680101488,2224,24
9989061740101488,2225,24
9989061870101488,2226,24
9989062350101488,2227,24
9989062410101488,2228,24
9989062520101488,2229,24
9989062590101488,2230,24
9989062630101488,2231,24
9989062830101488,2232,24
9989062900101488,2233,24
9989062920101488,2234,24
9989062960101488,2235,24
9989063000101488,2236,24
9989063040101488,2237,24
9989063080101488,2238,24
9989063130101488,2239,24
9989063220101488,2240,24
9989063260101488,2241,24
9989074080101488,2242,24
9989074090101488,2243,24
9989074100101488,2244,24
