RecordID,fm_id
998409340101488,2071
9983677380101488,2072
9983680640101488,2073
9983684110101488,2074
9984692670101488,2075
9984806480101488,2076
9984809220101488,2077
9984813000101488,2078
9984817940101488,2079
9984825290101488,2080
9984831760101488,2081
9984875010101488,2082
9984879010101488,2083
9984882080101488,2084
9984889740101488,2085
9984909340101488,2086
9984913130101488,2087
9984915010101488,2088
9984952000101488,2089
9985204270101488,2090
9985275330101488,2091
9985276830101488,2092
9985449980101488,2093
9985450340101488,2094
9988171070101488,2095
9988171170101488,2096
9989636720101488,2097
9989672710101488,2098
9990180740101488,2099
9991877070101488,2100
9992066370101488,2101
9992070040101488,2102
9992075290101488,2103
9992112188001488,2104
9992119909401488,2105
9992133084901488,2106
9992133091401488,2107
9992133203501488,2108
9992133262401488,2109
9992133547201488,2110
9992133557801488,2111
9992133560601488,2112
9992134347801488,2113
9992134599601488,2114
9992134603301488,2115
9992134606101488,2116
9992134681701488,2117
9992134685601488,2118
9992134688101488,2119
9992135447901488,2120
9992135452901488,2121
9992135904101488,2122
9992135943601488,2123
9992136072701488,2124
9992136076601488,2125
9992136082201488,2126
9992136083201488,2127
9992136085301488,2128
9992136093101488,2129
9992136094301488,2130
9992136098101488,2131
9992136105801488,2132
9992136545901488,2133
9992136798801488,2134
9992136989801488,2135
9992136995601488,2136
9992137179101488,2137
9992137274701488,2138
9992137290401488,2139
9992137296201488,2140
9992137304801488,2141
9992137341201488,2142
9992138591301488,2143
9992139602401488,2144
9992139683501488,2145
9992139685401488,2146
9992139924001488,2147
9992140105701488,2148
9992140106801488,2149
9992140134901488,2150
9992140181501488,2151
9992140182701488,2152
9992140188701488,2153
9992140195101488,2154
9992140338901488,2155
9992140339801488,2156
9992140340101488,2157
9992140348301488,2158
9992140588701488,2159
9992140593401488,2160
9992146148901488,2161
9992146151501488,2162
9992146292801488,2163
9992146296101488,2164
9992146318201488,2165
9992146321001488,2166
9992146323901488,2167
9992146339701488,2168
9992146342401488,2169
9992146344901488,2170
998161350101488,2171
998296080101488,2172
9911058340101488,2173
9914031280101488,2174
9915089830101488,2175
9922121260101488,2176
9922947680101488,2177
9927563330101488,2178
9932447570101488,2179
9937199870101488,2180
9977253760101488,2181
9977254090101488,2182
