"4407","Pavli Jos. a Riegger ... Compendivm institvtionvm jvrisprvdentiae ecclesiasticae pvblicae."
"4457","Instruction sur l'obeissance due aux decisions de l'Eglise."
"4838","Aequitas decreti regii vindicata contra anatomen Hallarum"
"4945","Eenige Diestenaren uit de vergetelheid getrokken"
"4953","Alexander Farnesius"
"4954","Gaston de Francia"
"4955","Marguerite princesse de Lorraine"
"4956","Louis de Bourbon"
"4957","Carolus Dux Lotharingiae"
"4958","Thomas François de Savoye"
"4959","Wolfgangus Wilhelmus"
"4960","Armandus Joannes du Plessis"
"4961","Gaspar de Guzman"
"4962","Ambrosius Spinola"
"4963","Fred. Henry"
"4964","Emelia"
"4965","Wilhelmus"
"4966","Maria, filia Caroli"
"4967","Albertus princeps comes Aremberg"
"4968","Octavius Piccolomineus de Aragona"
"4969","Jacobus Philippus"
"4970","Franciscus de Moncada"
"4971","Joannes Tserclaes"
"4972","Carolus Albertus de Longueval"
"4973","Gaspard, conte de Colligny"
"4974","Godefroy Henry conte de Papenheim"
"4975","Bernhard Duc de Saxe Weymar"
"4976","Jean Comte de Nassau"
"4977","Ernest conte d'Isenburg"
"4978","Wilhelmus Comes Nassoviae"
"4979","Carolus de Longueval"
"4980","Jean de Weert"
"4987","Juan Luis Vives (1492 - 1540), précurseur du secours d'hiver."
"4993","Joan. Ludov. comes ab Isolani"
"5053","Fidei christianæ professio juxta constitutionem bullæ Pii papæ IV."
"5169","Jan-Frans Van de Velde (1743-1823), de Eximius van Beveren."
"5348","Zwayhundert und dreyzehen auszerlesner Trabanten, durch wœlcher getrewe belaytung ... jeder mensch, zu bewarung leibs uñ lebens ... versichert wurt,"
"5464","Dissertatio medica de regimine et morbis infantum."
"5516","Urbanus VIII"
"5517","Ferdinandus III"
"5518","Maria Ferdinandi III"
"5519","Philippus IV"
"5520","Elizabetha Borbonia"
"5521","Maria de Medicis"
"5522","Balthasar Carolvs"
"5523","Ludovicus XIII"
"5524","Anna Austriaca"
"5525","Carolus"
"5533","Henrica Maria"
"5534","Carolus"
"5535","Vladislaus IV"
"5536","Christianus IV"
"5537","Gustave Adolph"
"5538","Albertus"
"5539","Isabellae Clarae Eugeniae"
"5540","Carolus Austriacus infans Hispaniarum"
"5541","Ferdinandus, Hispaniarum infans"
"5542","Ferdinandus Austriacus cardinalis infans Hisp."
"5612","Catalogvs librorvm reprobatorvm ex ivdicio Academiæ Lovaniensis ..."
"5676","Breviarium Academiae Lovaniensis ac praecipue facultatis utriusque juris."
"5697","Illmi. D. Ioannis Caramvel ... Apologema pro antiqvissima et vniversalissima doctrina De probabilitate. Contra ... Prosperi Fagnani opiniationem."
"5892","Ordonnance de l'imperatrice reine du 14. janvier 1764. Sur la discipline des etudians en philosophie de l'université de Louvain."
"5893","Projet de reglement pour l'etablissement d'un hopital general a Louvain."
"5898","Solis et artis adulteria in qvibvs ostenditur et sphæræ doctrinam quàm hucusque, tradi necessariò debere; omnes apparentes lineas virtute refractionum attolli; et multi horoscopi .... delineantur."
"6058","Institutiones doctrinæ christianæ, sive Catechismus nova methodo concinnatus ad usum studiosæ juventutis venerandæ facultatis artium studii generalis Lovaniensis."
"6120","Tabula logarithmorum, pro numeris naturali serie crescentibus"
"6237","De Zegero Bernardo van Espen ... qui, ad evertendam potestatem ecclesiasticum natus, pessimis suis consiliis, scriptisque perniciosissimis, Paschasio Quenello, ad Erckelio collaborantibus, florentissimam missionem Batavicam perturbavit [...]& serenissima Maria Elizabetha ... a legitimo judice damnatus, Lovanio in Hollandiam profugus, Amerfordiæ ... anno 1728. schismati, immortuus est."
"6261","Catalogvs librorvm bibliothecae R. et Cl. viri D. Nicolai Vernvlaei ... vendendorum sub auctione publica per Hieronymvm Nempaevm anno 1649. die zi mensis Maij."
"6279","Ordonnance de l'imperatrice reine du 14. janvier 1764. Sur la discipline des etudians en philosophie de l'université de Louvain."
"6313","Brabandsche chronycke oft oudtheden ..."
